=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.29 19:43:08 =~=~=~=~=~=~=~=~=~=~=~=
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
254723,-766,26,-649
254743,-583,-5,-424
254763,-328,-204,67
254783,-105,-432,342
254803,-65,-465,209
254823,-122,-424,2
254843,-160,-399,-202
254863,-179,-318,-511
254883,-204,-112,-731
254903,-314,121,-802,412,462
254923,-365,246,-785
254943,-498,394,-800
254963,-791,654,-710
254983,-1047,785,-557
255003,-1097,642,-437
255022,-920,325,-279
255042,-605,13,177
255062,-370,-38,470
255082,-251,101,389
255102,-90,194,281
255122,190,112,332
255143,411,62,355
255162,331,289,312
255182,191,422,423
255202,143,284,642,471,541
255222,221,-74,967
255242,301,-454,1198
255262,326,-676,1135
255282,264,-645,878
255302,89,-440,745
255322,-137,-201,656
255342,-246,-40,500
255362,-240,50,315
255382,-315,108,69
255402,-329,68,-171
255422,-196,-46,-335
255442,-104,-134,-375
255462,-161,-127,-473
255482,-353,-97,-694
255502,-489,-158,-828,519,536
255522,-526,-252,-671
255542,-486,-295,-586
255562,-475,-278,-680
255582,-353,-283,-687
255602,-51,-216,-428
255622,200,-78,-84
255642,261,35,37
255662,177,191,-19
255682,10,385,-51
255702,-72,454,-70
255722,30,383,83
255742,208,327,317
255762,400,289,542
255782,653,220,591
255802,749,185,486,580,546
255822,678,201,462
255842,605,192,523
255862,521,180,559
255882,411,181,613
255902,356,132,608
255922,254,38,501
255942,29,-3,321
255962,-243,23,219
255982,-550,100,155
256002,-802,111,-33
256022,-906,18,-281
256042,-900,-110,-389
256062,-871,-130,-389
256082,-830,-84,-359
256102,-817,9,-349,464,547
256122,-836,75,-360
256142,-684,55,-311
256162,-374,37,-286
256182,-238,68,-355
256202,-388,192,-422
256222,-583,296,-476
256242,-645,316,-540
256262,-670,240,-615
256282,-643,162,-608
256302,-553,134,-441
256322,-513,173,-256
256342,-659,279,-122
256362,-827,335,-46
256382,-759,265,-62
256402,-550,162,-42,462,537
256422,-248,124,122
256442,93,107,353
256462,213,160,551
256482,93,223,687
256502,-47,224,617
256522,-88,151,319
256542,-137,86,-16
256562,-217,72,-194
256582,-151,91,-181
256602,-45,82,-48
256622,54,41,21
256642,130,-57,27
256662,242,-91,14
256682,289,-108,63
256702,255,-61,168,541,482
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
268458,319,223,115
268478,384,348,152
268498,413,495,183
268518,497,644,260
268538,621,760,324
268558,755,830,293
268578,817,884,111
268598,776,923,-136
268618,690,960,-275
268638,669,949,-213
268658,716,908,-49
268678,735,817,85
268698,757,657,231,79,378
268718,798,514,373
268738,771,416,400
268758,664,384,305
268778,588,397,338
268798,581,403,479
268818,583,367,440
268838,504,307,128
