=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.29 19:25:16 =~=~=~=~=~=~=~=~=~=~=~=
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
58728,-17,-14,105
58748,-7,-1,88
58768,-6,-3,61,109,1215
58788,-18,-10,79
58808,-14,-10,90
58828,-9,-7,76
58848,-18,-6,67
58868,-7,-3,70
58888,-7,-1,69
58908,-15,-5,70
58928,-10,-4,72
58948,-10,-7,76
58968,-16,-12,82
58988,-12,-7,72
59008,-13,-3,68
59028,-11,-9,72
59048,-11,-7,75
59068,-11,-8,71,121,1213
59088,-14,-4,71
59108,-11,-1,73
59128,-6,-6,71
59148,-8,-4,70
59168,-5,-11,62
59188,-9,-5,67
59208,-6,-7,68
59228,-6,-7,70
59248,-9,-7,73
59268,-7,-7,74
59288,-10,-4,76
59308,-11,-2,81
59328,-7,-13,82
59348,-6,-12,72
59368,-2,-10,77,142,1207
59388,-2,-10,75
59408,0,-14,77
59428,-1,-7,71
59448,-2,-5,73
59468,-3,-11,82
59488,-6,-13,74
59508,-7,-11,77
59528,-6,-11,83
59548,-6,-7,79
59568,0,-2,89
59588,2,0,90
59608,0,1,77
59628,-7,-4,78
59648,-9,-2,85
59668,-7,-1,84,213,1199
59688,-5,-1,77
59708,-4,0,76
59728,-5,-5,70
59748,-7,-5,76
59768,-4,-5,76
59788,-5,-1,71
59808,-12,-5,71
59828,-12,-2,71
59848,-13,-2,78
59868,-9,-4,76
59888,-6,-6,81
59908,-7,-4,83
59928,0,-1,77
59948,-3,-5,76
59968,-3,-7,70,1208,131
59988,0,-4,81
60008,6,-4,83
60028,-4,-4,77
60048,-9,-2,79
60067,-7,-9,80
60087,1,-11,82
60107,2,-3,79
60127,-1,0,74
60147,-7,0,70
60167,-3,-2,73
60187,-5,-8,71
60207,-3,-9,73
60227,-5,-4,70
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
67005,-101,-76,49
67025,-97,-37,59
67045,-98,18,60
67065,-86,48,58
67085,-37,73,29
67105,-7,78,0
67125,-8,103,-15
67145,-30,161,-19
67165,-52,213,-53,160,92
67185,-109,229,-70
67205,-151,192,-115
67225,-149,219,-124
67245,-195,268,-149
67265,-227,261,-104
67285,-209,226,-68
67305,-239,232,-56
67325,-293,255,-55
67345,-280,206,-66
67365,-221,160,-60
67385,-156,135,18
67405,-57,103,63
67425,16,45,8
67445,63,-25,-76
67465,103,-66,-77,127,133
67485,142,-79,18
